ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,
236,"Thales near  Abbey Wood - Bristol,  South East,  United Kingdom","Abbey Wood - Bristol,  South East,  United Kingdom",21,34,"Abbey Wood - Bristol,  South East",United Kingdom,
535,"Thales near  Abu Dhabi,  Abu Dhabi,  United Arab Emirates","Abu Dhabi,  Abu Dhabi,  United Arab Emirates",10,22,"Abu Dhabi,  Abu Dhabi",United Arab Emirates,
237,"Thales near  Addlestone,  Surrey,  United Kingdom","Addlestone,  Surrey,  United Kingdom",11,20,"Addlestone,  Surrey",United Kingdom,
78,"Thales near  Aix,  PACA,  France","Aix,  PACA,  France",4,11,"Aix,  PACA",France,
169,"Thales near  Algiers,  Algiers,  Algeria","Algiers,  Algiers,  Algeria",8,18,"Algiers,  Algiers",Algeria,
544,"Thales near  Amberley ,  Queensland,  Australia","Amberley ,  Queensland,  Australia",10,23,"Amberley ,  Queensland",Australia,
445,"Thales near  Antequera,  Malaga,  Spain","Antequera,  Malaga,  Spain",10,19,"Antequera,  Malaga",Spain,
592,"Thales near  Antwerpen,  Vlanderen,  Belgium","Antwerpen,  Vlanderen,  Belgium",10,22,"Antwerpen,  Vlanderen",Belgium,
40,"Thales near  Arcueil,  Région Parisienne,  France","Arcueil,  Région Parisienne,  France",8,28,"Arcueil,  Région Parisienne",France,
648,"Thales near  Arlington,  Virginia,  United States","Arlington,  Virginia,  United States",10,21,"Arlington,  Virginia",United States,
399,"Thales near  Arnstadt,  Thüringen,  Germany","Arnstadt,  Thüringen,  Germany",9,21,"Arnstadt,  Thüringen",Germany,
250,"Thales near  Aubagne,  PACA,  France","Aubagne,  PACA,  France",8,15,"Aubagne,  PACA",France,
640,"Thales near  Auckland,  Auckland,  New Zealand","Auckland,  Auckland,  New Zealand",9,20,"Auckland,  Auckland",New Zealand,
112,"Thales near  Aylesbury,  Thames Valley,  United Kingdom","Aylesbury,  Thames Valley,  United Kingdom",10,26,"Aylesbury,  Thames Valley",United Kingdom,
122,"Thales near  Bad Hersfeld,  Hessen,  Germany","Bad Hersfeld,  Hessen,  Germany",13,22,"Bad Hersfeld,  Hessen",Germany,
41,"Thales near  Bagneux,  Région Parisienne,  France","Bagneux,  Région Parisienne,  France",8,28,"Bagneux,  Région Parisienne",France,
674,"Thales near  Bangalore,  Karnataka,  India","Bangalore,  Karnataka,  India",10,22,"Bangalore,  Karnataka",India,
449,"Thales near  Barcelona,  Barcelona,  Spain","Barcelona,  Barcelona,  Spain",10,22,"Barcelona,  Barcelona",Spain,
615,"Thales near  Barracas,  Capital Federal,  Argentina","Barracas,  Capital Federal,  Argentina",9,27,"Barracas,  Capital Federal",Argentina,
98,"Thales near  Basingstoke,  South East,  United Kingdom","Basingstoke,  South East,  United Kingdom",12,25,"Basingstoke,  South East",United Kingdom,
185,"Thales near  Beijing,  Beijing,  China","Beijing,  Beijing,  China",8,18,"Beijing,  Beijing",China,
210,"Thales near  Beirut,  Lebanon,  Lebanon","Beirut,  Lebanon,  Lebanon",7,17,"Beirut,  Lebanon",Lebanon,
95,"Thales near  Belfast,  Northern Ireland,  United Kingdom","Belfast,  Northern Ireland,  United Kingdom",8,27,"Belfast,  Northern Ireland",United Kingdom,
525,"Thales near  Belgrade,  Belgrade,  Serbia","Belgrade,  Belgrade,  Serbia",9,20,"Belgrade,  Belgrade",Serbia,
601,"Thales near  Belville,  Western Cape,  South Africa","Belville,  Western Cape,  South Africa",9,24,"Belville,  Western Cape",South Africa,
545,"Thales near  Benalla,  Victoria,  Australia","Benalla,  Victoria,  Australia",8,19,"Benalla,  Victoria",Australia,
546,"Thales near  Bendigo ,  Victoria,  Australia","Bendigo ,  Victoria,  Australia",9,20,"Bendigo ,  Victoria",Australia,
469,"Thales near  Bergen,  Bergen,  Norway","Bergen,  Bergen,  Norway",7,16,"Bergen,  Bergen",Norway,
400,"Thales near  Berlin,  Berlin-Brandenburg,  Germany","Berlin,  Berlin-Brandenburg,  Germany",7,28,"Berlin,  Berlin-Brandenburg",Germany,
497,"Thales near  Berlin,  Berlin,  Germany","Berlin,  Berlin,  Germany",7,16,"Berlin,  Berlin",Germany,
457,"Thales near  Bilbao,  Bilbao,  Spain","Bilbao,  Bilbao,  Spain",7,16,"Bilbao,  Bilbao",Spain,
116,"Thales near  Birmingham,  West Midlands,  United Kingdom","Birmingham,  West Midlands,  United Kingdom",11,27,"Birmingham,  West Midlands",United Kingdom,
68,"Thales near  Blagnac,  Sud Ouest,  France","Blagnac,  Sud Ouest,  France",8,20,"Blagnac,  Sud Ouest",France,
69,"Thales near  Bordeaux,  Sud Ouest,  France","Bordeaux,  Sud Ouest,  France",9,21,"Bordeaux,  Sud Ouest",France,
502,"Thales near  Bratislava,  Bratislava,  Slovakia","Bratislava,  Bratislava,  Slovakia",11,24,"Bratislava,  Bratislava",Slovakia,
29,"Thales near  Brest,  Bretagne,  France","Brest,  Bretagne,  France",6,17,"Brest,  Bretagne",France,
42,"Thales near  Brétigny sur Orge,  Région Parisienne,  France","Brétigny sur Orge,  Région Parisienne,  France",18,38,"Brétigny sur Orge,  Région Parisienne",France,
99,"Thales near  Brighton,  South East,  United Kingdom","Brighton,  South East,  United Kingdom",9,22,"Brighton,  South East",United Kingdom,
547,"Thales near  Brisbane Airport   ,  Queensland,  Australia","Brisbane Airport   ,  Queensland,  Australia",20,33,"Brisbane Airport   ,  Queensland",Australia,
105,"Thales near  Bristol,  South West,  United Kingdom","Bristol,  South West,  United Kingdom",8,21,"Bristol,  South West",United Kingdom,
70,"Thales near  Brive la gaillarde,  Sud Ouest,  France","Brive la gaillarde,  Sud Ouest,  France",19,31,"Brive la gaillarde,  Sud Ouest",France,
176,"Thales near  Brussels-Capital,  Brussels,  Belgium","Brussels-Capital,  Brussels,  Belgium",17,28,"Brussels-Capital,  Brussels",Belgium,
623,"Thales near  Bs As,  Bs As,  Argentina","Bs As,  Bs As,  Argentina",6,14,"Bs As,  Bs As",Argentina,
523,"Thales near  Bucharest,  Bucharest,  Romania","Bucharest,  Bucharest,  Romania",10,22,"Bucharest,  Bucharest",Romania,
516,"Thales near  Budapest,  Budapest,  Hungary","Budapest,  Budapest,  Hungary",9,20,"Budapest,  Budapest",Hungary,
173,"Thales near  Buenos Aires,  Buenos Aires,  Argentina","Buenos Aires,  Buenos Aires,  Argentina",13,28,"Buenos Aires,  Buenos Aires",Argentina,
385,"Thales near  Burnaby,  British Columbia,  Canada","Burnaby,  British Columbia,  Canada",8,27,"Burnaby,  British Columbia",Canada,"4190 Still Creek Drive, Suite 250, Burnaby, British Columbia, Canada, V5C 6C6"
654,"Thales near  Burnham,  Canterbury,  New Zealand","Burnham,  Canterbury,  New Zealand",8,21,"Burnham,  Canterbury",New Zealand,
100,"Thales near  Bury St Edmunds,  South East,  United Kingdom","Bury St Edmunds,  South East,  United Kingdom",16,29,"Bury St Edmunds,  South East",United Kingdom,
113,"Thales near  Busher Road,  Thames Valley,  United Kingdom","Busher Road,  Thames Valley,  United Kingdom",12,28,"Busher Road,  Thames Valley",United Kingdom,
188,"Thales near  Cairo,  Lower-Egypt,  Egypt","Cairo,  Lower-Egypt,  Egypt",6,20,"Cairo,  Lower-Egypt",Egypt,
643,"Thales near  Cambridge,  Cambridgeshire,  United Kingdom","Cambridge,  Cambridgeshire,  United Kingdom",10,27,"Cambridge,  Cambridgeshire",United Kingdom,
548,"Thales near  Campbell,  Australian Capital Territory,  Australia","Campbell,  Australian Capital Territory,  Australia",9,40,"Campbell,  Australian Capital Territory",Australia,
419,"Thales near  Campi Bisenzio (FI),  Toscana,  Italy","Campi Bisenzio (FI),  Toscana,  Italy",20,30,"Campi Bisenzio (FI),  Toscana",Italy,
248,"Thales near  Cannes,  PACA,  France","Cannes,  PACA,  France",7,14,"Cannes,  PACA",France,
621,"Thales near  Capital Federal,  Capital Federal,  Argentina","Capital Federal,  Capital Federal,  Argentina",16,34,"Capital Federal,  Capital Federal",Argentina,
470,"Thales near  Caracas,  Caracas,  Venezuela","Caracas,  Caracas,  Venezuela",8,18,"Caracas,  Caracas",Venezuela,
30,"Thales near  Carquefou,  Pays de la Loire,  France","Carquefou,  Pays de la Loire,  France",10,29,"Carquefou,  Pays de la Loire",France,
569,"Thales near  Carrington ,  New South Wales,  Australia","Carrington ,  New South Wales,  Australia",12,30,"Carrington ,  New South Wales",Australia,
43,"Thales near  Cergy Pontoise,  Région Parisienne,  France","Cergy Pontoise,  Région Parisienne,  France",15,35,"Cergy Pontoise,  Région Parisienne",France,
31,"Thales near  Cesson Sévigné,  Bretagne,  France","Cesson Sévigné,  Bretagne,  France",15,26,"Cesson Sévigné,  Bretagne",France,
595,"Thales near  Charleroi,  Wallonie,  Belgium","Charleroi,  Wallonie,  Belgium",10,21,"Charleroi,  Wallonie",Belgium,
32,"Thales near  Chateaubourg,  Bretagne,  France","Chateaubourg,  Bretagne,  France",13,24,"Chateaubourg,  Bretagne",France,
35,"Thales near  Châtellerault,  Centre,  France","Châtellerault,  Centre,  France",14,23,"Châtellerault,  Centre",France,
44,"Thales near  Chatou,  Région Parisienne,  France","Chatou,  Région Parisienne,  France",7,27,"Chatou,  Région Parisienne",France,
93,"Thales near  Cheadle Heath,  North West,  United Kingdom","Cheadle Heath,  North West,  United Kingdom",14,27,"Cheadle Heath,  North West",United Kingdom,
607,"Thales near  Chennai,  Tamilnadu,  India","Chennai,  Tamilnadu,  India",8,20,"Chennai,  Tamilnadu",India,
101,"Thales near  Chessington,  South East,  United Kingdom","Chessington,  South East,  United Kingdom",12,25,"Chessington,  South East",United Kingdom,
228,"Thales near  Chieti,  Abruzzo,  Italy","Chieti,  Abruzzo,  Italy",7,17,"Chieti,  Abruzzo",Italy,
81,"Thales near  Cholet,  Pays de la Loire,  France","Cholet,  Pays de la Loire,  France",7,26,"Cholet,  Pays de la Loire",France,
